page_num,row_num,full_link,company,co_hq_city,co_hq_zip,labor_area,id,notice_date
page001.html,1,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=94,AAA Club Partners  ,Wilmington  ,19801  ,7  ,94,2012-10-09
page001.html,2,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=21,"AB Car Rental Services, Inc.  ",Phoenix  ,85034  ,7  ,21,2010-09-28
page001.html,3,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=244,ABB Inc.  ,Phoenix  ,85034  ,5  ,244,2016-05-31
page001.html,4,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=61,Abrazo Health Care  ,Chandler  ,85224  ,7  ,61,2011-01-07
page001.html,5,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=308,Abrazo Scottsdale Campus  ,Phoenix  ,85032  ,5  ,308,2018-07-13
page001.html,6,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=156,Acosta Sales & Marketing  ,Brea  ,92821  ,5  ,156,2014-06-19
page001.html,7,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=136,"ACP Services, LLC  ",Walnut Creek  ,94597  ,7  ,136,2013-08-28
page001.html,8,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=295,"ACS, LLC  ",Yuma  ,85365  ,9  ,295,2018-02-21
page001.html,9,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=236,"ACS, LLC  ",Yuma  ,85365  ,9  ,236,2016-05-04
page001.html,10,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=237,"ACS, LLC  ",Yuma  ,85365  ,9  ,237,2016-05-04
page001.html,11,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=243,"Advantage Logistics Southwest, Inc.  ",Phoenix  ,85043  ,7  ,243,2016-06-06
page001.html,12,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=363,Aecom  ,Luke AFB  ,85012  ,7  ,363,2019-07-29
page001.html,13,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=399,Aecom  ,Glendale  ,85310  ,7  ,399,2020-01-17
page001.html,14,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=111,"Aegis Communications Group, Inc.  ",Irving  ,75063  ,1  ,111,2013-04-29
page001.html,15,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=233,Aeroturbine  ,Miramar  ,33027  ,7  ,233,2016-01-27
page001.html,16,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=260,Albertson Company #1026  ,Surprise  ,85374  ,7  ,260,2017-01-06
