id,page_num,page_name,full_link,company,co_hq_city,co_hq_state,co_hq_zip,labor_area,notice_date,num_employees_affected
94,page001.html,id=94,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=94,AAA Club Partners  ,Wilmington  ,DE,19801  ,7  ,2012-10-09,104
21,page001.html,id=21,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=21,"AB Car Rental Services, Inc.  ",Phoenix  ,AZ,85034  ,7  ,2010-09-28,70
244,page001.html,id=244,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=244,ABB Inc.  ,Phoenix  ,AZ,85034  ,5  ,2016-05-31,89
61,page001.html,id=61,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=61,Abrazo Health Care  ,Chandler  ,AZ,85224  ,7  ,2011-01-07,79
308,page001.html,id=308,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=308,Abrazo Scottsdale Campus  ,Phoenix  ,AZ,85032  ,5  ,2018-07-13,49
156,page001.html,id=156,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=156,Acosta Sales & Marketing  ,Brea  ,CA,92821  ,5  ,2014-06-19,50
136,page001.html,id=136,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=136,"ACP Services, LLC  ",Walnut Creek  ,CA,94597  ,7  ,2013-08-28,145
295,page001.html,id=295,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=295,"ACS, LLC  ",Yuma  ,AZ,85365  ,9  ,2018-02-21,60
236,page001.html,id=236,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=236,"ACS, LLC  ",Yuma  ,AZ,85365  ,9  ,2016-05-04,25
237,page001.html,id=237,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=237,"ACS, LLC  ",Yuma  ,AZ,85365  ,9  ,2016-05-04,25
243,page001.html,id=243,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=243,"Advantage Logistics Southwest, Inc.  ",Phoenix  ,AZ,85043  ,7  ,2016-06-06,507
363,page001.html,id=363,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=363,Aecom  ,Luke AFB  ,AZ,85012  ,7  ,2019-07-29,63
399,page001.html,id=399,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=399,Aecom  ,Glendale  ,AZ,85310  ,7  ,2020-01-17,62
111,page001.html,id=111,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=111,"Aegis Communications Group, Inc.  ",Irving  ,TX,75063  ,1  ,2013-04-29,150
