id,results_page,page_name,full_link,company,co_hq_city,co_hq_state,co_hq_zip,labor_area,notice_date,num_employees_affected,other_notes
481,page001.html,id=481,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=481,"Flying Food Group, LLC  ",Phoenix  ,AZ,85003  ,5  ,2020-04-10,96,
479,page001.html,id=479,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=479,Prospect  ,Phoenix  ,AZ,85034  ,7  ,2020-04-09,154,Layoff due to COVID-19
480,page001.html,id=480,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=480,Yelp  ,Scottsdale  ,AZ,85251  ,7  ,2020-04-09,375,Layoff due to COVID-19
476,page001.html,id=476,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=476,Suit Supply  ,Scottsdale  ,AZ,85254  ,7  ,2020-04-08,9,Temporary Furlough
477,page001.html,id=477,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=477,Medieval Times Dinner & Tournament  ,Scottsdale  ,AZ,85258  ,7  ,2020-04-08,195,Layoffs are associated to COVID-19
478,page001.html,id=478,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=478,Avis Budget  ,Phoenix  ,AZ,85034  ,5  ,2020-04-08,85,Layoff associated with COVID-19
467,page001.html,id=467,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=467,Cocopah indian Tribe  ,Somerton  ,AZ,85350  ,9  ,2020-04-07,86,"Services provided by Rapid Response team
Rapid Response Information
Dislocated Worker Program Information
One Stop Center Services
Employees are expected to be called back; however, no set date.
UI Information
Possible Virtual Presentation"
468,page001.html,id=468,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=468,Cocopah Casino and Resort  ,Somerton  ,AZ,85350  ,9  ,2020-04-07,70,COVID-19 effected
469,page001.html,id=469,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=469,Mind Body  ,Scottsdale  ,AZ,85257  ,7  ,2020-04-07,91,Layoff is associated to COVID-19
470,page001.html,id=470,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=470,Wild River Family Entertainment Center  ,Somerton  ,AZ,85350  ,9  ,2020-04-07,35,COVID-19 effected
471,page001.html,id=471,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=471,Cocopah Bend RV Resort and Golf  ,Yuma  ,AZ,85364  ,9  ,2020-04-07,32,COVID-19 Effected
472,page001.html,id=472,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=472,Estrellita Child Care center  ,San Luis  ,AZ,85336  ,9  ,2020-04-07,4,COVID-19 Effected
473,page001.html,id=473,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=473,Taylor farms  ,Salinas  ,CA,93902  ,9  ,2020-04-07,407,COVID-19 Effected
474,page001.html,id=474,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=474,Alsco  ,Yuma  ,AZ,85365  ,9  ,2020-04-07,26,COVID-19 Effected
475,page001.html,id=475,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=475,"IHG-Army Hotels, candlewood Suites  ",Yuma Proving grounds  ,AZ,85365  ,9  ,2020-04-07,8,COVID-19 Effected
460,page001.html,id=460,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=460,Benihana Scottsdale  ,Scottsdale  ,AZ,85254  ,7  ,2020-04-05,53,COVID-19 Effected
461,page001.html,id=461,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=461,Benihana Chandler  ,Chandler  ,AZ,85226  ,7  ,2020-04-05,49,COVID-19 Effected
462,page001.html,id=462,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=462,Benihana Mid town  ,Scottsdale  ,AZ,85251  ,7  ,2020-04-05,52,COVID-19 Effected
463,page001.html,id=463,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=463,Benihana Ahwatukee  ,Phoenix  ,AZ,85044  ,7  ,2020-04-05,26,COVID-19 Effected
464,page001.html,id=464,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=464,Sushi Tucson  ,Tucson  ,AZ,85717  ,6  ,2020-04-05,43,COVID-19 Effected
465,page001.html,id=465,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=465,RA Mesa Corp  ,Mesa  ,AZ,85204  ,6  ,2020-04-05,40,COVID-19 Effected
466,page001.html,id=466,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=466,RA Kierland Restaurant  ,Scottsdale  ,AZ,85254  ,6  ,2020-04-05,44,COVID-19 Effected
454,page001.html,id=454,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=454,civana  ,Carefree  ,AZ,85377  ,7  ,2020-04-03,176,COVID-19 effected
455,page001.html,id=455,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=455,civana  ,Carefree  ,AZ,85377  ,7  ,2020-04-03,176,COVID-19 Effect
456,page001.html,id=456,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=456,L'Auberge de Sedona  ,Sedona  ,AZ,85600  ,10  ,2020-04-03,147,COVID-19 Effected
